Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Login Page,3000,2591,2201,4514,5345,7937,59,10614,0.00%,4.6,10.6
Login POST,3000,6903,6474,9786,11268,14359,2862,18096,0.00%,4.6,213.1
Load random friend,3000,3567,3192,5915,7117,8912,9,10336,0.00%,4.6,8.2
TOTAL,9000,4354,3785,8147,9154,12362,9,18096,0.00%,13.7,231.7
1430516221636,66,Login Page,200,OK,Thread Group 1-1,text,true,2375,6,6,65
1430516221644,90,Login Page,200,OK,Thread Group 1-2,text,true,2375,8,8,89
1430516221659,138,Login Page,200,OK,Thread Group 1-3,text,true,2375,13,13,138
1430516221689,263,Login Page,200,OK,Thread Group 1-5,text,true,2375,22,22,262
1430516221673,285,Login Page,200,OK,Thread Group 1-4,text,true,2375,23,23,285
1430516221703,279,Login Page,200,OK,Thread Group 1-6,text,true,2375,24,24,279
1430516221734,276,Login Page,200,OK,Thread Group 1-8,text,true,2375,26,26,276
1430516221717,285,Login Page,200,OK,Thread Group 1-7,text,true,2375,26,26,285
1430516221750,413,Login Page,200,OK,Thread Group 1-9,text,true,2375,36,36,413
1430516221762,424,Login Page,200,OK,Thread Group 1-10,text,true,2375,38,38,424
1430516221791,404,Login Page,200,OK,Thread Group 1-12,text,true,2375,38,38,404
1430516221775,435,Login Page,200,OK,Thread Group 1-11,text,true,2375,39,39,434
1430516221806,550,Login Page,200,OK,Thread Group 1-13,text,true,2375,49,49,550
1430516221821,556,Login Page,200,OK,Thread Group 1-14,text,true,2375,50,50,556
1430516221837,562,Login Page,200,OK,Thread Group 1-15,text,true,2375,52,52,561
1430516221853,567,Login Page,200,OK,Thread Group 1-16,text,true,2375,53,53,566
1430516221889,540,Login Page,200,OK,Thread Group 1-18,text,true,2375,54,54,540
1430516221873,574,Login Page,200,OK,Thread Group 1-17,text,true,2375,55,55,574
1430516221905,552,Login Page,200,OK,Thread Group 1-19,text,true,2375,55,55,552
1430516221935,531,Login Page,200,OK,Thread Group 1-21,text,true,2375,56,56,531
1430516221951,532,Login Page,200,OK,Thread Group 1-22,text,true,2375,57,57,531
